Volatility 3 Framework 2.12.0

Offset	Name
0x64356c0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-PowerShell-V2-ServerCore-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x6435f20	\Windows\System32\wbem\ServerManager.DeploymentProvider.dll
0x65f6070	\RemCom_stdoutjYrC2213
0x65f6300	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-UX-ARW-Plugins-Package-base~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x65f6680	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-ServerManager-UX-ARW-Plugins-Package-admin~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x6614cd0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-OfflineFiles-UI-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x6634be0	\Windows\SysWOW64\tzres.dll
0x6634d30	\$Directory
0x66cb500	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-PowerShell-ISE-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x66cbc90	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-PeerDist-Server-Common-Package~31bf3856ad364e35~amd64~~6.2.9200.16384.cat
0x66cbf20	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-PeerDist-Server-Common-Package~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x6762490	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Server-Features-Package-drivers~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x6762cd0	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Server-BPA-Models-Package-net~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
0x6906600	\Windows\System32\C_1257.NLS
0x6906980	\Windows\assembly\NativeImages_v4.0.30319_64\UIAutomationProvider\39fc6729e41bc8cde63d0aeeb9e49024\UIAutomationProvider.ni.dll
0x6cee050	\Windows\System32\catroot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-RemoteAssistance-Package-Server-ua~31bf3856ad364e35~amd64~en-US~6.2.9200.16384.cat
